,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
1881,15,0,0,0,0,0,13,37,6,18,0,0,1,0,1,104
1882,19,0,1,0,0,0,21,63,3,60,0,0,0,0,1,100
1883,16,0,0,0,0,0,7,20,4,10,0,0,0,0,1,69
1884,19,0,1,0,0,0,21,65,6,104,1,1,0,0,1,114
1885,40,0,0,0,14,1,2,9,0,2,0,0,0,0,1,54
1886,34,0,1,0,3,0,5,22,10,28,0,0,0,0,1,65
1887,31,0,3,0,6,1,5,22,10,28,0,0,0,0,1,65
1888,36,2,0,0,10,0,1,6,2,2,0,0,0,1,1,9
1889,18,0,0,0,0,0,2,8,6,7,0,0,1,0,1,88
1890,19,0,0,0,0,0,3,9,6,11,0,0,2,0,1,50
1891,34,0,1,0,3,0,5,22,10,28,0,0,0,0,1,65
1892,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1893,20,0,0,0,0,0,8,16,0,14,0,0,0,0,1,42
1894,20,0,0,0,0,0,8,16,0,14,0,0,0,0,1,42
1895,20,0,0,0,0,0,8,16,0,14,0,0,0,0,1,42
1896,20,0,0,0,0,0,8,16,0,14,0,0,0,0,1,42
1897,19,0,0,0,0,0,3,9,6,11,0,0,2,0,1,50
1898,27,0,0,0,0,0,17,32,1,30,0,0,0,0,1,112
1899,37,2,0,0,9,0,1,6,2,2,0,0,0,1,1,17
1900,16,0,0,0,0,0,9,20,2,17,0,0,0,0,1,82
1901,18,0,0,0,0,0,2,9,7,21,0,0,1,0,1,13
1902,18,0,0,0,0,0,3,10,3,4,0,0,2,0,1,59
1903,36,2,0,0,8,0,1,6,2,2,0,0,0,1,1,13
1904,19,0,0,0,0,0,2,4,0,8,0,0,1,0,1,27
1905,43,2,0,0,11,0,2,10,0,2,0,0,0,0,1,53
1906,18,0,0,0,0,0,2,11,11,20,0,0,1,0,1,13
1907,34,0,1,0,3,0,5,22,10,28,0,0,0,0,1,65
1908,18,0,0,0,0,0,2,7,1,7,1,1,1,0,1,88
1909,26,0,0,0,0,0,3,7,0,7,0,0,1,0,1,42
1910,18,0,0,0,0,0,6,16,1,14,0,0,2,0,1,61
1911,18,0,0,0,0,0,2,7,1,7,0,0,1,0,1,88
1912,19,0,1,0,0,0,21,75,10,101,1,1,0,0,1,122
1913,19,0,1,0,0,0,21,63,3,60,0,0,0,0,1,103
1914,18,0,0,0,0,0,4,13,6,7,0,0,2,0,1,64
1915,40,0,2,1,4,0,2,7,1,2,0,0,0,1,1,38
1916,27,0,0,0,0,0,5,22,1,14,1,1,3,0,1,55
1917,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
